CandidateID,County,Votes
19595,COOK,25715
19596,COOK,31224
19597,COOK,26395
19598,KANE,34799
19598,McHENRY,19303
19599,COOK,22883
19599,WILL,4754
19600,COOK,44689
19601,COOK,51764
19602,KANKAKEE,18261
19602,COOK,17631
19602,WILL,7907
19603,COOK,137159
19603,KANKAKEE,14858
19603,WILL,8320
19604,COOK,12081
19605,COOK,21157
19606,COOK,26394
19607,ROCK ISLAND,24341
19607,WHITESIDE,8858
19607,HENRY,1758
19607,CARROLL,938
19608,ROCK ISLAND,20325
19608,WHITESIDE,7867
19608,HENRY,1274
19608,CARROLL,776
19609,COOK,19828
19610,COOK,28090
19611,KANKAKEE,4307
19611,WILL,2909
19611,COOK,1579
19612,COOK,23007
19612,KANKAKEE,1666
19612,WILL,1425
19613,CHRISTIAN,5943
19613,MACON,5890
19613,MACOUPIN,5370
19613,MONTGOMERY,4375
19613,SANGAMON,4326
19613,MADISON,1545
19614,MACON,8732
19614,MACOUPIN,8228
19614,SANGAMON,6131
19614,CHRISTIAN,5571
19614,MONTGOMERY,4327
19614,MADISON,1413
19615,COOK,12927
19616,COOK,25205
19617,COOK,52298
19618,COOK,25443
19619,WILL,19959
19619,COOK,6209
19620,WILL,8820
19620,COOK,2977
19621,MADISON,12576
19621,CLINTON,11381
19621,MARION,10148
19621,EFFINGHAM,7973
19621,ST. CLAIR,5585
19621,FAYETTE,5565
19621,BOND,4006
19621,WASHINGTON,3689
19622,COOK,25290
19622,WILL,1269
19623,COOK,14644
19624,COOK,925590
19625,COOK,51500
19625,WILL,12411
19625,DuPAGE,180
19626,COOK,104062
19626,WILL,12486
19626,DuPAGE,216
19627,COOK,11948
19628,COOK,14861
19629,ST. CLAIR,28396
19629,MADISON,2228
19630,DuPAGE,16665
19630,WILL,7782
19631,DuPAGE,8512
19631,WILL,3178
19632,DuPAGE,31643
19634,DuPAGE,219599
19634,LAKE,154474
19634,KANE,96560
19634,McHENRY,74647
19634,WINNEBAGO,61188
19634,KENDALL,26316
19634,DeKALB,22229
19634,OGLE,14170
19634,BOONE,12670
19634,STEPHENSON,11753
19634,LEE,9130
19634,JoDAVIESS,6066
19634,CARROLL,4681
19635,COOK,8866
19636,COOK,10715
19637,DuPAGE,16364
19637,COOK,1056
19638,DuPAGE,13579
19638,COOK,1002
19639,DuPAGE,11542
19640,DuPAGE,12774
19641,WILLIAMSON,14838
19641,FRANKLIN,10334
19641,JOHNSON,3166
19641,MASSAC,2882
19641,HAMILTON,18
19641,JEFFERSON,3
19641,UNION,3
19641,JACKSON,0
19642,DuPAGE,31078
19642,COOK,2382
19643,DuPAGE,28711
19644,KANE,16095
19644,DuPAGE,7269
19644,COOK,1118
19645,COOK,22278
19646,COOK,79666
19647,COOK,15342
19648,KANE,15864
19648,KENDALL,7396
19649,KANE,6915
19649,KENDALL,4092
19650,LAKE,33769
19650,COOK,127
19651,McHENRY,13393
19651,COOK,3966
19651,LAKE,3538
19651,KANE,1779
19652,McHENRY,6471
19652,LAKE,1366
19652,COOK,1172
19652,KANE,902
19653,COOK,27097
19654,COOK,21973
19655,COOK,11360
19656,COOK,13647
19657,COOK,15209
19658,COOK,11263
19658,DuPAGE,2329
19659,COOK,11831
19659,DuPAGE,2574
19660,COOK,10486
19660,LAKE,596
19661,COOK,13542
19661,LAKE,834
19662,LAKE,15786
19662,COOK,1109
19663,LAKE,18147
19663,COOK,2105
19664,OGLE,14858
19664,STEPHENSON,12142
19664,LEE,8984
19664,JoDAVIESS,6192
19664,DeKALB,5777
19664,WINNEBAGO,5020
19664,CARROLL,3376
19664,LaSALLE,2780
19664,WHITESIDE,736
19665,LAKE,12115
19665,COOK,1064
19666,LAKE,12932
19666,COOK,1596
19667,MADISON,41898
19668,MADISON,35289
19669,COOK,107668
19669,DuPAGE,8696
19670,COOK,10292
19670,DuPAGE,1013
19671,COOK,4715
19672,COOK,22440
19673,LAKE,11476
19674,LAKE,17706
19675,LAKE,12811
19676,LAKE,12789
19677,LAKE,13910
19678,McHENRY,12938
19679,McHENRY,18271
19680,McHENRY,12711
19680,LAKE,10478
19681,KANE,27074
19681,McHENRY,2734
19682,McHENRY,16672
19682,KANE,7285
19684,WINNEBAGO,27855
19685,WINNEBAGO,17703
19685,BOONE,11089
19686,COOK,65630
19687,COOK,59399
19688,DuPAGE,85861
19688,KANE,21189
19688,COOK,20239
19688,McHENRY,17054
19688,LAKE,15944
19689,DuPAGE,43376
19689,KANE,10120
19689,McHENRY,9461
19689,COOK,9450
19689,LAKE,6058
19690,COOK,19159
19691,DeKALB,17246
19691,KANE,6452
19691,BOONE,1858
19692,WHITESIDE,8134
19692,ROCK ISLAND,6727
19692,HENRY,1500
19692,CARROLL,872
19693,WHITESIDE,8507
19693,ROCK ISLAND,6704
19693,HENRY,1514
19693,CARROLL,822
19694,ROCK ISLAND,24331
19695,PEORIA,20251
19695,WOODFORD,5968
19695,MARSHALL,3577
19695,BUREAU,1735
19695,STARK,1647
19695,LaSALLE,489
19696,HENRY,12844
19696,KNOX,10511
19696,MERCER,5432
19696,BUREAU,5410
19696,LEE,816
19697,GRUNDY,7157
19697,KENDALL,5954
19697,WILL,3848
19697,LaSALLE,2659
19698,GRUNDY,6257
19698,KENDALL,3383
19698,WILL,2763
19698,LaSALLE,1828
19699,LaSALLE,13787
19699,BUREAU,1771
19699,PUTNAM,1171
19699,LIVINGSTON,343
19700,LaSALLE,13007
19700,BUREAU,2814
19700,PUTNAM,1400
19700,LIVINGSTON,188
19701,COOK,6770
19701,DuPAGE,5718
19702,COOK,26182
19703,KANKAKEE,13822
19703,WILL,1339
19703,GRUNDY,1079
19704,KANKAKEE,13918
19704,GRUNDY,1907
19704,WILL,537
19705,COOK,60960
