Household Income,Population,Median Age,Per Capita Income,Poverty Count,county_id,census_year,county
57890.0,265670.0,40.1,30802.0,35625.0,119,2018,Madison
74140.0,50509.0,37.6,33308.0,4389.0,063,2018,Grundy
57981.0,111061.0,37.6,27164.0,15794.0,091,2018,Kankakee
58011.0,15693.0,44.8,28995.0,1762.0,131,2018,Mercer
88711.0,931743.0,39.1,43982.0,62203.0,043,2018,DuPage
34709.0,6532.0,42.8,19065.0,1946.0,003,2018,Alexander
69102.0,12367.0,42.9,34495.0,1163.0,129,2018,Menard
56243.0,110401.0,41.8,29093.0,14458.0,099,2018,LaSalle
62088.0,5223719.0,36.6,35575.0,778020.0,031,2018,Cook
50444.0,106512.0,41.3,28925.0,16645.0,115,2018,Macon
42604.0,14430.0,43.8,23768.0,2550.0,127,2018,Massac
51997.0,12665.0,39.7,26245.0,1689.0,017,2018,Cass
48016.0,45433.0,45.1,27453.0,6435.0,177,2018,Stephenson
49764.0,16487.0,43.3,26362.0,2303.0,191,2018,Wayne
71867.0,38817.0,40.0,35104.0,2737.0,203,2018,Woodford
41414.0,39127.0,42.3,23510.0,7517.0,055,2018,Franklin
43724.0,30875.0,32.1,23299.0,5993.0,109,2018,McDonough
84803.0,307789.0,40.2,38047.0,21649.0,111,2018,McHenry
59623.0,14703.0,40.3,28391.0,1321.0,139,2018,Moultrie
42664.0,15754.0,42.3,24162.0,2114.0,149,2018,Pike
40671.0,4249.0,53.7,22343.0,537.0,151,2018,Pope
53681.0,263463.0,38.3,29541.0,42410.0,163,2018,St.
51157.0,21832.0,44.8,25320.0,2423.0,173,2018,Shelby
51692.0,209448.0,29.9,29683.0,40411.0,019,2018,Champaign
54392.0,4858.0,46.7,27314.0,601.0,013,2018,Calhoun
51120.0,13398.0,43.0,28002.0,2048.0,053,2018,Ford
76912.0,530839.0,37.0,34924.0,52281.0,089,2018,Kane
91764.0,124626.0,34.9,34423.0,6598.0,093,2018,Kendall
58762.0,6675.0,39.0,22279.0,482.0,009,2018,Brown
46102.0,38084.0,42.1,24727.0,6630.0,121,2018,Marion
45596.0,13778.0,45.3,27111.0,2080.0,125,2018,Mason
51825.0,28169.0,44.5,26976.0,3849.0,075,2018,Iroquois
48691.0,13338.0,42.7,25821.0,2100.0,025,2018,Clay
42500.0,5157.0,45.3,25572.0,1005.0,059,2018,Gallatin
81268.0,33936.0,42.6,39988.0,1673.0,133,2018,Monroe
49182.0,17127.0,43.7,25416.0,3056.0,181,2018,Union
52743.0,286174.0,39.6,28250.0,43932.0,201,2018,Winnebago
33799.0,5611.0,44.1,20317.0,1048.0,153,2018,Pulaski
46151.0,7064.0,45.8,23068.0,1468.0,169,2018,Schuyler
51109.0,17539.0,44.6,27701.0,2125.0,045,2018,Edgar
66898.0,53606.0,38.4,30725.0,5843.0,007,2018,Boone
55940.0,33381.0,44.0,29126.0,4152.0,011,2018,Bureau
44071.0,51736.0,35.2,26790.0,10323.0,029,2018,Coles
49233.0,19088.0,42.0,26713.0,1970.0,033,2018,Crawford
65034.0,5746.0,47.9,34144.0,501.0,155,2018,Putnam
55591.0,16042.0,43.1,29402.0,1739.0,039,2018,De
57901.0,34527.0,43.4,29249.0,3392.0,103,2018,Lee
53778.0,45719.0,43.6,28050.0,5965.0,117,2018,Macoupin
48724.0,15881.0,41.9,26038.0,2336.0,159,2018,Richland
59469.0,14155.0,43.4,32394.0,1139.0,189,2018,Washington
50304.0,29009.0,43.1,24816.0,4098.0,135,2018,Montgomery
53828.0,56396.0,43.2,29167.0,5862.0,195,2018,Whiteside
51398.0,66427.0,41.3,29347.0,7874.0,001,2018,Adams
65010.0,37628.0,40.2,31240.0,3205.0,027,2018,Clinton
61086.0,104200.0,31.0,28073.0,16326.0,037,2018,DeKalb
49766.0,6507.0,43.3,26908.0,659.0,047,2018,Edwards
54951.0,9598.0,42.8,25536.0,1223.0,079,2018,Jasper
47617.0,38169.0,41.0,25770.0,6523.0,081,2018,Jefferson
45384.0,78407.0,40.3,24272.0,14728.0,183,2018,Vermilion
83504.0,688697.0,37.6,35259.0,47519.0,197,2018,Will
49053.0,67299.0,40.9,26756.0,9754.0,199,2018,Williamson
54158.0,15836.0,43.0,29887.0,1960.0,023,2018,Clark
54218.0,19714.0,37.9,27871.0,2170.0,041,2018,Douglas
56293.0,34174.0,39.1,30255.0,3901.0,049,2018,Effingham
50180.0,35418.0,43.0,25538.0,5414.0,057,2018,Fulton
46052.0,13218.0,42.9,23946.0,1848.0,061,2018,Greene
56862.0,8221.0,44.1,27795.0,771.0,065,2018,Hamilton
43081.0,4009.0,46.2,25795.0,641.0,069,2018,Hardin
57250.0,49464.0,43.1,29014.0,5784.0,073,2018,Henry
50923.0,12602.0,43.2,22469.0,1211.0,087,2018,Johnson
43709.0,50999.0,42.1,24681.0,8498.0,095,2018,Knox
56200.0,36324.0,42.0,28236.0,4680.0,105,2018,Livingston
53973.0,5047.0,44.1,27218.0,638.0,171,2018,Scott
62342.0,133852.0,40.9,33077.0,11205.0,179,2018,Tazewell
49607.0,17338.0,39.3,26082.0,2010.0,187,2018,Warren
60466.0,197661.0,40.0,34548.0,29431.0,167,2018,Sangamon
52107.0,32546.0,42.0,25340.0,3663.0,157,2018,Randolph
59707.0,51328.0,42.4,30595.0,4998.0,141,2018,Ogle
48508.0,34426.0,41.5,26295.0,4518.0,137,2018,Morgan
47773.0,14025.0,44.1,25859.0,1786.0,193,2018,White
52712.0,6884.0,49.7,28401.0,559.0,071,2018,Henderson
65813.0,173219.0,32.9,33665.0,24214.0,113,2018,McLean
48298.0,21384.0,41.7,24511.0,3046.0,145,2018,Perry
52630.0,145275.0,40.1,28595.0,20807.0,161,2018,Rock
51432.0,11573.0,43.6,26850.0,1359.0,185,2018,Wabash
53376.0,10865.0,42.6,25622.0,1501.0,035,2018,Cumberland
57083.0,21834.0,49.7,32710.0,1800.0,085,2018,Jo
45654.0,16189.0,41.0,22099.0,2302.0,101,2018,Lawrence
55901.0,11794.0,46.3,29827.0,1272.0,123,2018,Marshall
52415.0,33231.0,43.2,26166.0,4078.0,021,2018,Christian
37802.0,58551.0,31.6,24521.0,14923.0,077,2018,Jackson
54770.0,184463.0,37.2,30753.0,29140.0,143,2018,Peoria
69271.0,16427.0,43.0,33967.0,970.0,147,2018,Piatt
52260.0,5500.0,45.1,30225.0,866.0,175,2018,Stark
58097.0,16712.0,41.3,26356.0,2168.0,005,2018,Bond
51228.0,14562.0,47.9,28053.0,1589.0,015,2018,Carroll
56747.0,22069.0,42.7,28924.0,1944.0,083,2018,Jersey
44432.0,21724.0,41.5,22260.0,3551.0,051,2018,Fayette
57899.0,29207.0,40.4,27187.0,2143.0,107,2018,Logan
41167.0,24231.0,42.0,23690.0,5260.0,165,2018,Saline
86244.0,703619.0,38.2,44287.0,56651.0,097,2018,Lake
